"Flight Numbers","Origin Airport","Destination Airport","Mileage Program","Departure Time","Arrival Time","Duration (minutes)","Stops","Aircraft","Connections","Economy Miles","Economy Direct Miles","Economy Seats","Economy Direct Seats","Economy Carriers","Economy Direct Carriers","Economy Taxes","Economy Taxes Currency","Premium Economy Miles","Premium Economy Direct Miles","Premium Economy Seats","Premium Economy Direct Seats","Premium Economy Carriers","Premium Economy Direct Carriers","Premium Economy Taxes","Premium Economy Taxes Currency","Business Miles","Business Direct Miles","Business Seats","Business Direct Seats","Business Carriers","Business Direct Carriers","Business Taxes","Business Taxes Currency","First Miles","First Direct Miles","First Seats","First Direct Seats","First Carriers","First Direct Carriers","First Taxes","First Taxes Currency"
"AF1105, AF8","FCO","JFK","flyingblue","10/12 12:30PM","10/12 6:45PM","735","1","Airbus A320, Boeing 777-300ER","CDG","25500","","9","","","","226.33","USD","0","","6","","","","323.93","USD","0","","9","","","","458.73","USD","0","","","","","","",""
"AZ576, LX22","FCO","JFK","aeroplan","10/20 9:05AM","10/20 2:20PM","675","1","Airbus A320neo, Airbus A330-300","GVA","42500","","9","","","","196.70","CAD","0","","","","","","","","75000","","2","","","","196.70","CAD","0","","","","","","",""
"DL303, DL2692","FCO","JFK","delta","11/01 12:25PM","11/01 11:47PM","1042","1","Airbus A330-200, Airbus A220","MSP","120000","","9","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"AF1205, AF6","FCO","JFK","flyingblue","10/27 9:55AM","10/27 5:00PM","725","1","Airbus A320, Boeing 777-300ER","CDG","79000","","9","","","","224.73","USD","0","","5","","","","321.52","USD","0","","9","","","","455.33","USD","0","","","","","","",""
"DL231","FCO","JFK","delta","11/01 1:00PM","11/01 5:02PM","602","0","Airbus A330-300","","56000","","9","","","","55.63","EUR","135000","","3","","","","55.63","EUR","0","","8","","","","55.63","EUR","0","","","","","","",""
"KL1604, KL643","FCO","JFK","flyingblue","10/26 12:45PM","10/26 8:20PM","755","1","Boeing 737-900, Boeing 787-10","AMS","47500","","9","","","","226.33","USD","0","","9","","","","323.93","USD","0","","9","","","","458.73","USD","0","","","","","","",""
"DL183","FCO","JFK","delta","10/08 10:10AM","10/08 2:07PM","597","0","Airbus A330-300","","62000","","9","","","","55.63","EUR","0","","5","","","","55.63","EUR","0","","6","","","","55.63","EUR","0","","","","","","",""
"DL207, DL2934","FCO","JFK","delta","10/06 9:00AM","10/06 6:07PM","907","1","Airbus A330-300, Airbus A319","DTW","56000","","3","","","","60.49","EUR","0","","","","","","","","0","","7","","","","60.49","EUR","0","","","","","","",""
"DL215, DL2398","FCO","JFK","delta","10/07 9:45AM","10/07 7:19PM","934","1","Airbus A330-900neo, Boeing 737-900","ATL","56000","","9","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"KL1602, KL643","FCO","JFK","flyingblue","10/18 10:35AM","10/18 7:15PM","880","1","Airbus A321neo, Boeing 787-10","AMS","40500","","9","","","","224.73","USD","0","","9","","","","321.52","USD","0","","6","","","","455.43","USD","0","","","","","","",""
"AF1005, AF6","FCO","JFK","flyingblue","10/26 6:00AM","10/26 5:00PM","960","1","Airbus A320, Boeing 777-300ER","CDG","79000","","5","","","","226.33","USD","0","","6","","","","323.93","USD","0","","3","","","","458.73","USD","0","","","","","","",""
"KL1600, KL641","FCO","JFK","flyingblue","10/27 6:10AM","10/27 4:00PM","890","1","Boeing 737-900, Boeing 787-10","AMS","25000","","5","","","","224.63","USD","0","","9","","","","321.43","USD","0","","4","","","","455.23","USD","0","","","","","","",""
"DL67, DL1480","FCO","JFK","delta","10/07 1:10PM","10/07 10:51PM","941","1","Airbus A330-900neo, Boeing 737-900","ATL","84000","","9","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"AF1205, AF6","FCO","JFK","flyingblue","10/26 9:55AM","10/26 5:00PM","725","1","Airbus A320, Boeing 777-300ER","CDG","96500","","9","","","","226.33","USD","0","","3","","","","323.93","USD","0","","2","","","","458.73","USD","0","","","","","","",""
"DL215, DL1480","FCO","JFK","delta","10/26 10:25AM","10/26 10:06PM","1001","1","Airbus A330-900neo, Boeing 737-900","ATL","105000","","4","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"KL1604, KL643","FCO","JFK","flyingblue","10/11 12:45PM","10/11 7:15PM","750","1","Airbus A321neo, Boeing 787-10","AMS","47500","","8","","","","224.73","USD","0","","9","","","","321.52","USD","0","","3","","","","455.43","USD","0","","","","","","",""
"AF1505, AF12","FCO","JFK","flyingblue","11/03 4:00PM","11/03 10:45PM","765","1","Airbus A320, Boeing 777-300ER","CDG","18750","","9","","","","224.83","USD","40000","","5","","","","321.63","USD","148000","","9","","","","455.53","USD","0","","","","","","",""
"DL207, DL2934","FCO","JFK","delta","10/07 9:00AM","10/07 6:07PM","907","1","Airbus A330-300, Airbus A319","DTW","72000","","6","","","","60.49","EUR","0","","","","","","","","0","","5","","","","60.49","EUR","0","","","","","","",""
"DL215, DL2398","FCO","JFK","delta","10/13 9:45AM","10/13 7:19PM","934","1","Airbus A330-900neo, Boeing 737-900","ATL","58000","","7","","","","60.49","EUR","0","","","","","","","","0","","5","","","","60.49","EUR","0","","","","","","",""
"AC891, AC8556","FCO","JFK","aeroplan","10/26 10:15AM","10/26 10:39PM","1044","1","Boeing 777-300ER, Embraer E175","YYZ","58200","","6","","","","133.50","CAD","0","","","","","","","","0","","6","","","","133.50","CAD","0","","","","","","",""
"DL207, DL1316","FCO","JFK","delta","11/03 10:00AM","11/03 9:44PM","1064","1","Airbus A330-300, Airbus A319","DTW","56000","","9","","","","60.49","EUR","0","","","","","","","","0","","8","","","","60.49","EUR","0","","","","","","",""
"AF1105, AF8","FCO","JFK","flyingblue","11/03 12:30PM","11/03 6:55PM","745","1","Airbus A320, Boeing 777-300ER","CDG","18750","","9","","","","224.83","USD","88500","","6","","","","321.63","USD","148000","","6","","","","455.53","USD","0","","","","","","",""
"DL215, DL2378","FCO","JFK","delta","11/02 10:25AM","11/02 8:07PM","942","1","Airbus A330-900neo, Boeing 737-900","ATL","98000","","4","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"KL1602, KL645","FCO","JFK","flyingblue","10/07 10:35AM","10/07 5:05PM","750","1","Airbus A321neo, Boeing 777-200","AMS","18750","","9","","","","224.63","USD","40000","","6","","","","321.43","USD","0","","6","","","","455.23","USD","0","","","","","","",""
"AF1205, AF6","FCO","JFK","flyingblue","10/07 10:00AM","10/07 3:50PM","710","1","Airbus A320, Boeing 777-300ER","CDG","25000","","9","","","","224.73","USD","0","","6","","","","321.52","USD","0","","8","","","","455.33","USD","0","","","","","","",""
"DL67, DL1480","FCO","JFK","delta","10/20 1:10PM","10/20 10:51PM","941","1","Airbus A330-900neo, Boeing 737-900","ATL","76000","","5","","","","60.49","EUR","0","","","","","","","","0","","2","","","","60.49","EUR","0","","","","","","",""
"AF1205, AF6","FCO","JFK","flyingblue","10/21 10:00AM","10/21 3:50PM","710","1","Airbus A320, Boeing 777-300ER","CDG","57000","","3","","","","226.33","USD","0","","8","","","","323.93","USD","0","","9","","","","458.73","USD","0","","","","","","",""
"DL215, DL2398","FCO","JFK","delta","10/06 9:45AM","10/06 7:19PM","934","1","Airbus A330-900neo, Boeing 737-900","ATL","56000","","9","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"AF1205, AF6","FCO","JFK","flyingblue","10/06 10:00AM","10/06 3:50PM","710","1","Airbus A320, Boeing 777-300ER","CDG","18750","","9","","","","224.83","USD","0","","9","","","","321.63","USD","0","","9","","","","455.53","USD","0","","","","","","",""
"KL1602, KL643","FCO","JFK","flyingblue","10/19 10:35AM","10/19 7:15PM","880","1","Airbus A321neo, Boeing 787-10","AMS","25000","","9","","","","224.63","USD","0","","9","","","","321.43","USD","0","","4","","","","455.23","USD","0","","","","","","",""
"AF1205, AF8","FCO","JFK","flyingblue","11/03 10:20AM","11/03 6:55PM","875","1","Airbus A320, Boeing 777-300ER","CDG","25000","","9","","","","224.83","USD","88500","","5","","","","321.63","USD","148000","","4","","","","455.53","USD","0","","","","","","",""
"DL215, DL2378","FCO","JFK","delta","11/01 10:25AM","11/01 8:07PM","942","1","Airbus A330-900neo, Boeing 737-900","ATL","120000","","9","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"AF1005, AF4","FCO","JFK","flyingblue","10/28 6:00AM","10/28 1:55PM","775","1","Airbus A320, Boeing 777-300ER","CDG","96500","","9","","","","224.73","USD","0","","2","","","","321.52","USD","0","","9","","","","455.33","USD","0","","","","","","",""
"AF1105, AF8","FCO","JFK","flyingblue","10/15 12:30PM","10/15 6:45PM","735","1","Airbus A320, Boeing 777-300ER","CDG","25000","","9","","","","224.73","USD","0","","6","","","","321.52","USD","0","","9","","","","455.33","USD","0","","","","","","",""
"KL1602, KL643","FCO","JFK","flyingblue","10/11 10:35AM","10/11 7:15PM","880","1","Airbus A321neo, Boeing 787-10","AMS","40500","","6","","","","224.73","USD","0","","9","","","","321.52","USD","0","","4","","","","455.43","USD","0","","","","","","",""
"DL215, DL1480","FCO","JFK","delta","11/01 10:25AM","11/01 10:06PM","1061","1","Airbus A330-900neo, Boeing 737-900","ATL","120000","","9","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"KL1602, KL643","FCO","JFK","flyingblue","10/14 10:35AM","10/14 7:15PM","880","1","Airbus A321neo, Boeing 787-10","AMS","25000","","9","","","","224.73","USD","0","","9","","","","321.52","USD","0","","9","","","","455.43","USD","0","","","","","","",""
"KL1600, KL641","FCO","JFK","flyingblue","10/08 6:30AM","10/08 2:35PM","845","1","Airbus A321neo, Boeing 787-10","AMS","18750","","9","","","","224.73","USD","0","","","","","","","","0","","4","","","","455.43","USD","0","","","","","","",""
"DL183","FCO","JFK","delta","10/07 10:10AM","10/07 2:07PM","597","0","Airbus A330-300","","56000","","9","","","","55.63","EUR","0","","7","","","","55.63","EUR","0","","7","","","","55.63","EUR","0","","","","","","",""
"KL1604, KL643","FCO","JFK","flyingblue","11/03 12:45PM","11/03 7:20PM","755","1","Boeing 737-900, Boeing 787-10","AMS","25000","","9","","","","224.73","USD","88500","","9","","","","321.52","USD","148000","","9","","","","455.43","USD","0","","","","","","",""
"AF1105, AF10","FCO","JFK","flyingblue","10/20 12:30PM","10/20 8:45PM","855","1","Airbus A320, Boeing 777-300ER","CDG","25000","","9","","","","224.83","USD","88500","","9","","","","321.63","USD","148000","","3","","","","455.53","USD","0","","","","","","",""
"AF1205, AF8","FCO","JFK","flyingblue","10/27 9:55AM","10/27 7:55PM","900","1","Airbus A320, Boeing 777-300ER","CDG","79000","","9","","","","224.73","USD","0","","5","","","","321.52","USD","0","","9","","","","455.33","USD","0","","","","","","",""
"DL299, DL2692","FCO","JFK","delta","10/21 2:45PM","10/21 11:47PM","902","1","Airbus A330-900neo, Airbus A220","MSP","90000","","9","","","","60.49","EUR","0","","","","","","","","0","","3","","","","60.49","EUR","0","","","","","","",""
"DL113, DL5702","FCO","JFK","delta","10/19 1:10PM","10/19 10:15PM","905","1","Airbus A330-300, Embraer E175","BOS","64000","","9","","","","60.49","EUR","0","","","","","","","","0","","2","","","","60.49","EUR","0","","","","","","",""
"AF1005, AF6","FCO","JFK","flyingblue","10/29 6:00AM","10/29 5:00PM","960","1","Airbus A320, Boeing 777-300ER","CDG","66500","","9","","","","224.73","USD","0","","9","","","","321.52","USD","0","","9","","","","455.33","USD","0","","","","","","",""
"AF1005, AF4","FCO","JFK","flyingblue","10/20 6:05AM","10/20 12:55PM","770","1","Airbus A320, Boeing 777-300ER","CDG","25500","","7","","","","224.83","USD","0","","","","","","","","0","","4","","","","455.53","USD","0","","","","","","",""
"DL67, DL1480","FCO","JFK","delta","10/15 1:10PM","10/15 10:51PM","941","1","Airbus A330-900neo, Boeing 737-900","ATL","54000","","9","","","","60.49","EUR","0","","","","","","","","0","","2","","","","60.49","EUR","0","","","","","","",""
"AF1205, AF8","FCO","JFK","flyingblue","10/13 10:00AM","10/13 6:45PM","885","1","Airbus A320, Boeing 777-300ER","CDG","25000","","9","","","","224.83","USD","0","","5","","","","321.63","USD","0","","9","","","","455.53","USD","0","","","","","","",""
"AF1205, AF8","FCO","JFK","flyingblue","10/07 10:00AM","10/07 6:45PM","885","1","Airbus A320, Boeing 777-300ER","CDG","25000","","9","","","","224.73","USD","0","","6","","","","321.52","USD","0","","9","","","","455.33","USD","0","","","","","","",""
"DL215, DL2398","FCO","JFK","delta","10/12 9:45AM","10/12 7:19PM","934","1","Airbus A330-900neo, Boeing 737-900","ATL","84000","","2","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"AF1005, AF4","FCO","JFK","flyingblue","10/13 6:05AM","10/13 12:55PM","770","1","Airbus A320, Boeing 777-300ER","CDG","25000","","9","","","","224.83","USD","0","","6","","","","321.63","USD","0","","7","","","","455.53","USD","0","","","","","","",""
"DL231","FCO","JFK","delta","10/08 12:15PM","10/08 4:11PM","596","0","Airbus A330-300","","62000","","9","","","","55.63","EUR","0","","","","","","","","0","","9","","","","55.63","EUR","0","","","","","","",""
"AF1505, AF12","FCO","JFK","flyingblue","10/29 4:00PM","10/29 11:45PM","765","1","Airbus A320, Boeing 777-300ER","CDG","57000","","9","","","","224.73","USD","0","","4","","","","321.52","USD","0","","6","","","","455.33","USD","0","","","","","","",""
"AF1005, AF6","FCO","JFK","flyingblue","11/03 6:00AM","11/03 4:00PM","960","1","Airbus A320, Boeing 777-300ER","CDG","25000","","9","","","","224.83","USD","40000","","3","","","","321.63","USD","148000","","2","","","","455.53","USD","0","","","","","","",""
"AF1005, AF4","FCO","JFK","flyingblue","10/14 6:05AM","10/14 12:55PM","770","1","Airbus A320, Boeing 777-300ER","CDG","25000","","9","","","","224.83","USD","88500","","9","","","","321.63","USD","90000","","3","","","","455.53","USD","0","","","","","","",""
"AC891, AC8556","FCO","JFK","aeroplan","11/02 11:15AM","11/02 10:39PM","1044","1","Boeing 777-300ER, Embraer E175","YYZ","58200","","6","","","","133.50","CAD","0","","","","","","","","0","","9","","","","133.50","CAD","0","","","","","","",""
"AF1205, AF6","FCO","JFK","flyingblue","10/14 10:00AM","10/14 3:50PM","710","1","Airbus A320, Boeing 777-300ER","CDG","18750","","9","","","","224.83","USD","88500","","2","","","","321.63","USD","0","","4","","","","455.53","USD","0","","","","","","",""
"KL1604, KL643","FCO","JFK","flyingblue","10/08 12:45PM","10/08 7:15PM","750","1","Airbus A321neo, Boeing 787-10","AMS","25000","","9","","","","224.73","USD","0","","9","","","","321.52","USD","0","","5","","","","455.43","USD","0","","","","","","",""
"AF1105, AF8","FCO","JFK","flyingblue","10/14 12:30PM","10/14 6:45PM","735","1","Airbus A320, Boeing 777-300ER","CDG","18750","","9","","","","224.83","USD","88500","","8","","","","321.63","USD","0","","9","","","","455.53","USD","0","","","","","","",""
"AF1005, AF6","FCO","JFK","flyingblue","10/28 6:00AM","10/28 5:00PM","960","1","Airbus A320, Boeing 777-300ER","CDG","96500","","9","","","","224.73","USD","0","","2","","","","321.52","USD","0","","2","","","","455.33","USD","0","","","","","","",""
"AF1505, AF12","FCO","JFK","flyingblue","11/01 4:00PM","11/01 10:45PM","765","1","Airbus A320, Boeing 777-300ER","CDG","57000","","9","","","","224.83","USD","0","","9","","","","321.63","USD","0","","2","","","","455.53","USD","0","","","","","","",""
"DL303, DL2692","FCO","JFK","delta","10/28 12:25PM","10/28 11:47PM","982","1","Airbus A330-200, Airbus A220","MSP","49000","","9","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"AF1005, AF4","FCO","JFK","flyingblue","10/25 6:00AM","10/25 1:55PM","775","1","Airbus A320, Boeing 777-300ER","CDG","40500","","3","","","","226.33","USD","0","","6","","","","323.93","USD","0","","8","","","","458.73","USD","0","","","","","","",""
"KL1604, KL643","FCO","JFK","flyingblue","10/14 12:45PM","10/14 7:15PM","750","1","Airbus A321neo, Boeing 787-10","AMS","18750","","9","","","","224.73","USD","0","","","","","","","","0","","9","","","","455.43","USD","0","","","","","","",""
"DL207, DL2934","FCO","JFK","delta","10/14 9:00AM","10/14 6:07PM","907","1","Airbus A330-300, Airbus A319","DTW","49000","","9","","","","60.52","EUR","0","","","","","","","","0","","2","","","","60.52","EUR","0","","","","","","",""
"DL231","FCO","JFK","delta","10/21 12:15PM","10/21 4:11PM","596","0","Airbus A330-300","","49000","","9","","","","55.63","EUR","0","","","","","","","","0","","5","","","","55.63","EUR","0","","","","","","",""
"DL183","FCO","JFK","delta","10/21 10:10AM","10/21 2:07PM","597","0","Airbus A330-300","","49000","","9","","","","55.63","EUR","0","","","","","","","","0","","7","","","","55.63","EUR","0","","","","","","",""
"KL1600, KL641","FCO","JFK","flyingblue","10/18 6:30AM","10/18 2:35PM","845","1","Airbus A321neo, Boeing 787-10","AMS","40500","","6","","","","224.73","USD","0","","9","","","","321.52","USD","0","","7","","","","455.43","USD","0","","","","","","",""
"AF1105, AF12","FCO","JFK","flyingblue","10/27 12:45PM","10/27 11:45PM","960","1","Airbus A320, Boeing 777-300ER","CDG","57000","","9","","","","224.73","USD","0","","2","","","","321.52","USD","0","","9","","","","455.33","USD","0","","","","","","",""
"AF1505, AF12","FCO","JFK","flyingblue","10/26 4:20PM","10/26 11:45PM","745","1","Airbus A320, Boeing 777-300ER","CDG","79000","","9","","","","226.33","USD","0","","8","","","","323.93","USD","0","","9","","","","458.73","USD","0","","","","","","",""
"DL299, DL2692","FCO","JFK","delta","10/06 2:45PM","10/06 11:47PM","902","1","Airbus A330-900neo, Airbus A220","MSP","98000","","9","","","","60.49","EUR","0","","","","","","","","0","","2","","","","60.49","EUR","0","","","","","","",""
"DL215, DL2378","FCO","JFK","delta","11/03 10:25AM","11/03 8:07PM","942","1","Airbus A330-900neo, Boeing 737-900","ATL","84000","","3","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"AF1505, AF12","FCO","JFK","flyingblue","10/19 3:30PM","10/19 10:40PM","790","1","Airbus A320, Airbus A350-900","CDG","25000","","5","","","","224.73","USD","0","","2","","","","321.52","USD","0","","8","","","","455.33","USD","0","","","","","","",""
"KL1602, KL643","FCO","JFK","flyingblue","11/01 10:05AM","11/01 7:20PM","915","1","Airbus A321neo, Boeing 787-10","AMS","25000","","9","","","","224.73","USD","0","","9","","","","321.52","USD","0","","3","","","","455.43","USD","0","","","","","","",""
"AF1005, AF4","FCO","JFK","flyingblue","10/15 6:05AM","10/15 12:55PM","770","1","Airbus A320, Boeing 777-300ER","CDG","25500","","9","","","","224.73","USD","89000","","8","","","","321.52","USD","90000","","5","","","","455.33","USD","0","","","","","","",""
"AF1205, AF8","FCO","JFK","flyingblue","10/12 10:00AM","10/12 6:45PM","885","1","Airbus A220, Boeing 777-300ER","CDG","25500","","9","","","","226.33","USD","0","","9","","","","323.93","USD","0","","7","","","","458.73","USD","0","","","","","","",""
"AF1105, AF8","FCO","JFK","flyingblue","10/07 12:30PM","10/07 6:45PM","735","1","Airbus A320, Boeing 777-300ER","CDG","25000","","4","","","","224.73","USD","0","","9","","","","321.52","USD","0","","9","","","","455.33","USD","0","","","","","","",""
"KL1600, KL641","FCO","JFK","flyingblue","10/07 6:30AM","10/07 2:35PM","845","1","Airbus A321neo, Boeing 787-10","AMS","18750","","9","","","","224.63","USD","89000","","8","","","","321.43","USD","0","","9","","","","455.23","USD","0","","","","","","",""
"DL207, DL2934","FCO","JFK","delta","11/01 10:00AM","11/01 6:07PM","847","1","Airbus A330-300, Airbus A319","DTW","84000","","8","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"DL67, DL1480","FCO","JFK","delta","10/08 1:10PM","10/08 10:51PM","941","1","Airbus A330-900neo, Boeing 737-900","ATL","62000","","9","","","","60.49","EUR","0","","","","","","","","0","","3","","","","60.49","EUR","0","","","","","","",""
"KL1600, KL641","FCO","JFK","flyingblue","10/06 6:30AM","10/06 2:35PM","845","1","Airbus A321neo, Boeing 787-10","AMS","18750","","9","","","","224.73","USD","0","","9","","","","321.52","USD","0","","7","","","","455.43","USD","0","","","","","","",""
"AF1005, AF4","FCO","JFK","flyingblue","10/27 6:00AM","10/27 1:55PM","775","1","Airbus A320, Boeing 777-300ER","CDG","96500","","9","","","","224.73","USD","0","","6","","","","321.52","USD","0","","9","","","","455.33","USD","0","","","","","","",""
"AF1105, AF8","FCO","JFK","flyingblue","10/27 12:45PM","10/27 7:55PM","730","1","Airbus A320, Boeing 777-300ER","CDG","66500","","9","","","","224.73","USD","0","","2","","","","321.52","USD","0","","9","","","","455.33","USD","0","","","","","","",""
"KL1602, KL643","FCO","JFK","flyingblue","10/06 10:35AM","10/06 7:15PM","880","1","Airbus A321neo, Boeing 787-10","AMS","18750","","9","","","","224.73","USD","0","","9","","","","321.52","USD","0","","9","","","","455.43","USD","0","","","","","","",""
"AF1105, AF10","FCO","JFK","flyingblue","10/29 12:30PM","10/29 9:55PM","865","1","Airbus A320, Boeing 777-300ER","CDG","35000","","3","","","","224.73","USD","0","","3","","","","321.52","USD","0","","9","","","","455.33","USD","0","","","","","","",""
"DL183","FCO","JFK","delta","10/20 10:10AM","10/20 2:07PM","597","0","Airbus A330-300","","49000","","9","","","","55.63","EUR","0","","8","","","","55.63","EUR","0","","5","","","","55.63","EUR","0","","","","","","",""
"KL1602, KL643","FCO","JFK","flyingblue","10/25 10:05AM","10/25 8:20PM","915","1","Airbus A321neo, Boeing 787-10","AMS","96500","","9","","","","226.33","USD","0","","9","","","","323.93","USD","0","","4","","","","458.73","USD","0","","","","","","",""
"DL113, DL5814","FCO","JFK","delta","11/01 10:55AM","11/01 6:40PM","825","1","Airbus A330-300, Embraer E175","BOS","56000","","9","","","","60.49","EUR","0","","","","","","","","0","","4","","","","60.49","EUR","0","","","","","","",""
"BA565, BA175","FCO","JFK","qantas","10/08 6:50AM","10/08 1:05PM","735","1","","LHR","0","","","","","","","","0","","","","","","","","90000","","3","","","","793.98","EUR","0","","","","","","",""
"DL183","FCO","JFK","delta","11/01 11:45AM","11/01 3:50PM","605","0","Airbus A330-300","","56000","","9","","","","55.63","EUR","0","","6","","","","55.63","EUR","0","","9","","","","55.63","EUR","0","","","","","","",""
"AF1105, AF10","FCO","JFK","flyingblue","10/06 12:30PM","10/06 8:45PM","855","1","Airbus A320, Boeing 777-300ER","CDG","25000","","9","","","","224.83","USD","88500","","3","","","","321.63","USD","0","","9","","","","455.53","USD","0","","","","","","",""
"DL215, DL1480","FCO","JFK","delta","11/03 10:25AM","11/03 10:06PM","1061","1","Airbus A330-900neo, Boeing 737-900","ATL","56000","","7","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"DL299, DL2692","FCO","JFK","delta","10/18 2:45PM","10/18 11:47PM","902","1","Airbus A330-900neo, Airbus A220","MSP","105000","","9","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"DL113, DL5702","FCO","JFK","delta","11/01 10:55AM","11/01 10:15PM","1040","1","Airbus A330-300, Embraer E175","BOS","56000","","9","","","","60.49","EUR","0","","","","","","","","0","","3","","","","60.49","EUR","0","","","","","","",""
"AF1205, AF6","FCO","JFK","flyingblue","10/08 10:00AM","10/08 3:50PM","710","1","Airbus A320, Boeing 777-300ER","CDG","25000","","9","","","","224.83","USD","0","","9","","","","321.63","USD","0","","4","","","","455.53","USD","0","","","","","","",""
"DL113, DL5702","FCO","JFK","delta","10/06 1:10PM","10/06 10:15PM","905","1","Airbus A330-300, Embraer E175","BOS","56000","","9","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"DL231","FCO","JFK","delta","10/19 12:15PM","10/19 4:11PM","596","0","Airbus A330-300","","58000","","9","","","","55.63","EUR","0","","6","","","","55.63","EUR","0","","7","","","","55.63","EUR","0","","","","","","",""
"DL207, DL1316","FCO","JFK","delta","10/27 10:00AM","10/27 9:44PM","1004","1","Airbus A330-300, Airbus A319","DTW","49000","","9","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"AF1105, AF12","FCO","JFK","flyingblue","10/26 12:45PM","10/26 11:45PM","960","1","Airbus A320, Boeing 777-300ER","CDG","79000","","9","","","","226.33","USD","0","","6","","","","323.93","USD","0","","9","","","","458.73","USD","0","","","","","","",""
"DL207, DL1316","FCO","JFK","delta","10/29 10:00AM","10/29 9:44PM","1004","1","Airbus A330-300, Airbus A319","DTW","54000","","9","","","","60.49","EUR","0","","","","","","","","0","","2","","","","60.49","EUR","0","","","","","","",""
"DL113, DL5814","FCO","JFK","delta","11/03 10:55AM","11/03 6:40PM","825","1","Airbus A330-300, Embraer E175","BOS","56000","","9","","","","60.49","EUR","0","","","","","","","","0","","4","","","","60.49","EUR","0","","","","","","",""
"AF1105, AF8","FCO","JFK","flyingblue","10/26 12:45PM","10/26 7:55PM","730","1","Airbus A320, Boeing 777-300ER","CDG","66500","","3","","","","226.33","USD","0","","6","","","","323.93","USD","0","","9","","","","458.73","USD","0","","","","","","",""
"DL207, DL2934","FCO","JFK","delta","10/11 9:00AM","10/11 6:07PM","907","1","Airbus A330-300, Airbus A319","DTW","120000","","9","","","","60.49","EUR","0","","","","","","","","0","","6","","","","60.49","EUR","0","","","","","","",""
"DL67, DL2386","FCO","JFK","delta","11/01 1:30PM","11/02 12:59AM","1049","1","Airbus A330-900neo, Boeing 737-900","ATL","98000","","8","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"DL183","FCO","JFK","delta","10/12 10:10AM","10/12 2:07PM","597","0","Airbus A330-300","","56000","","9","","","","55.63","EUR","0","","","","","","","","0","","5","","","","55.63","EUR","0","","","","","","",""
"DL215, DL1480","FCO","JFK","delta","11/02 10:25AM","11/02 10:06PM","1061","1","Airbus A330-900neo, Boeing 737-900","ATL","120000","","9","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"AF1105, AF8","FCO","JFK","flyingblue","10/20 12:30PM","10/20 6:45PM","735","1","Airbus A320, Boeing 777-300ER","CDG","25000","","5","","","","224.83","USD","88500","","7","","","","321.63","USD","0","","9","","","","455.53","USD","0","","","","","","",""
"DL231","FCO","JFK","delta","10/11 12:15PM","10/11 4:11PM","596","0","Airbus A330-300","","72000","","6","","","","55.63","EUR","0","","5","","","","55.63","EUR","0","","3","","","","55.63","EUR","0","","","","","","",""
"KL1600, KL641","FCO","JFK","flyingblue","10/21 6:30AM","10/21 2:35PM","845","1","Airbus A321neo, Boeing 787-10","AMS","18750","","9","","","","226.33","USD","89000","","8","","","","323.93","USD","0","","9","","","","458.73","USD","0","","","","","","",""
"DL183","FCO","JFK","delta","10/13 10:10AM","10/13 2:07PM","597","0","Airbus A330-300","","49000","","9","","","","55.63","EUR","0","","6","","","","55.63","EUR","0","","9","","","","55.63","EUR","0","","","","","","",""
"AF1505, AF12","FCO","JFK","flyingblue","10/27 4:20PM","10/27 11:45PM","745","1","Airbus A320, Boeing 777-300ER","CDG","57000","","9","","","","224.73","USD","0","","","","","","","","0","","9","","","","455.33","USD","0","","","","","","",""
"DL231","FCO","JFK","delta","10/12 12:15PM","10/12 4:11PM","596","0","Airbus A330-300","","56000","","9","","","","55.63","EUR","0","","6","","","","55.63","EUR","0","","6","","","","55.63","EUR","0","","","","","","",""
